"행정구역","2020년12월_계_총인구수","2020년12월_계_연령구간인구수","2020년12월_계_0~9세","2020년12월_계_10~19세","2020년12월_계_20~29세","2020년12월_계_30~39세","2020년12월_계_40~49세","2020년12월_계_50~59세","2020년12월_계_60~69세","2020년12월_계_70~79세","2020년12월_계_80~89세","2020년12월_계_90~99세","2020년12월_계_100세 이상"
"서울특별시 광진구 자양제3동(1121584000)","28,687","28,687","2,335","2,640","3,953","4,335","4,594","4,675","3,554","1,615","847","124","15"
"서울특별시 광진구 자양제4동(1121584700)","17,810","17,810","710","879","2,707","2,612","2,468","3,120","2,992","1,619","608","78","17"
"서울특별시 광진구 구의제1동(1121585000)","22,040","22,040","852","1,189","4,836","4,228","3,217","3,191","2,441","1,429","580","62","15"
"서울특별시 광진구 구의제2동(1121586000)","26,954","26,954","1,774","2,361","3,777","3,875","4,358","4,526","3,492","1,938","737","92","24"
"서울특별시 광진구 구의제3동(1121587000)","29,317","29,317","1,863","2,557","4,771","4,624","4,572","4,896","3,489","1,696","721","116","12"
"서울특별시 동대문구 (1123000000)","342,837","342,837","20,788","23,647","56,331","50,175","50,630","53,262","46,393","28,195","11,521","1,582","313"
"서울특별시 동대문구 용신동(1123053600)","31,190","31,190","1,288","1,425","6,136","5,359","4,238","4,692","4,136","2,603","1,130","157","26"
"서울특별시 동대문구 제기동(1123054500)","24,994","24,994","1,034","1,396","4,415","3,268","3,136","3,846","3,927","2,632","1,158","155","27"
"서울특별시 동대문구 전농제1동(1123056000)","30,204","30,204","1,890","1,915","4,680","4,390","4,337","4,921","4,228","2,550","1,107","140","46"
"서울특별시 동대문구 전농제2동(1123057000)","19,181","19,181","1,251","1,721","2,381","2,301","3,058","3,293","2,719","1,616","757","73","11"
"서울특별시 동대문구 답십리제1동(1123060000)","29,099","29,099","2,743","1,975","4,017","5,277","4,712","4,290","3,269","1,865","811","109","31"
"서울특별시 동대문구 답십리제2동(1123061000)","29,209","29,209","1,823","2,012","3,837","4,486","4,232","4,979","4,201","2,493","1,001","123","22"
"서울특별시 동대문구 장안제1동(1123065000)","38,710","38,710","2,543","2,635","5,292","6,346","6,385","6,070","5,442","2,881","942","147","27"
"서울특별시 동대문구 장안제2동(1123066000)","33,039","33,039","2,889","2,844","3,881","5,166","5,784","4,952","4,334","2,292","770","110","17"
"서울특별시 동대문구 청량리동(1123070500)","19,870","19,870","801","1,102","2,348","2,232","2,537","3,475","3,772","2,421","1,008","146","28"
"서울특별시 동대문구 회기동(1123071000)","10,473","10,473","453","706","3,178","1,473","1,329","1,236","981","707","342","56","12"
"서울특별시 동대문구 휘경제1동(1123072000)","13,631","13,631","797","774","3,284","2,170","1,700","1,937","1,529","962","408","60","10"
"서울특별시 동대문구 휘경제2동(1123073000)","24,297","24,297","1,263","2,053","5,324","3,018","3,530","3,535","2,930","1,828","697","107","12"
"서울특별시 동대문구 이문제1동(1123074000)","18,477","18,477","714","1,275","4,719","2,170","2,441","2,618","2,189","1,525","694","96","36"
"서울특별시 동대문구 이문제2동(1123075000)","20,463","20,463","1,299","1,814","2,839","2,519","3,211","3,418","2,736","1,820","696","103","8"
"서울특별시 중랑구 (1126000000)","394,702","394,702","23,064","26,759","56,112","58,124","57,883","69,528","58,222","31,445","11,758","1,601","206"
"서울특별시 중랑구 면목제2동(1126052000)","24,865","24,865","1,280","1,613","3,416","3,321","3,700","4,938","3,686","2,048","740","112","11"
"서울특별시 중랑구 면목제4동(1126054000)","18,972","18,972","1,052","1,197","2,501","2,673","2,953","3,278","2,875","1,827","520","84","12"
"서울특별시 중랑구 면목제5동(1126055000)","14,537","14,537","1,286","911","1,769","2,646","2,207","2,464","1,879","996","343","31","5"
"서울특별시 중랑구 면목본동(1126056500)","34,622","34,622","1,605","1,991","5,386","5,336","5,097","6,354","4,895","2,819","993","120","26"
"서울특별시 중랑구 면목제7동(1126057000)","22,386","22,386","1,187","1,270","3,136","3,425","3,182","3,934","3,537","1,956","660","87","12"
"서울특별시 중랑구 면목제3.8동(1126057500)","25,576","25,576","1,113","1,496","3,815","3,627","3,532","4,725","4,021","2,301","827","108","11"
"서울특별시 중랑구 상봉제1동(1126058000)","24,763","24,763","1,858","1,990","3,574","3,649","3,600","4,412","3,322","1,615","655","85","3"
"서울특별시 중랑구 상봉제2동(1126059000)","19,899","19,899","793","813","4,051","4,124","2,624","3,104","2,496","1,355","461","66","12"
"서울특별시 중랑구 중화제1동(1126060000)","20,224","20,224","1,282","1,347","2,923","3,215","2,837","3,379","3,072","1,544","551","69","5"
"서울특별시 중랑구 중화제2동(1126061000)","25,578","25,578","1,059","1,178","3,771","3,699","3,506","4,971","4,127","2,294","863","92","18"
"서울특별시 중랑구 묵제1동(1126062000)","35,399","35,399","2,383","3,137","4,990","4,953","5,903","5,551","4,729","2,609","992","129","23"
"서울특별시 중랑구 묵제2동(1126063000)","19,428","19,428","1,102","1,224","2,724","3,117","2,907","3,247","2,940","1,546","548","61","12"
"서울특별시 중랑구 망우본동(1126065500)","30,431","30,431","1,499","1,885","4,215","4,108","4,128","5,715","5,072","2,631","1,008","150","20"
"서울특별시 중랑구 망우제3동(1126066000)","17,127","17,127","795","1,172","2,334","2,153","2,444","3,325","2,756","1,467","580","86","15"
"서울특별시 중랑구 신내1동(1126068000)","39,681","39,681","3,377","3,791","4,928","5,125","6,038","6,572","5,535","2,817","1,256","226","16"
"서울특별시 중랑구 신내2동(1126069000)","21,214","21,214","1,393","1,744","2,579","2,953","3,225","3,559","3,280","1,620","761","95","5"
"서울특별시 성북구 (1129000000)","437,153","437,153","28,822","37,145","66,972","59,843","69,839","69,381","54,897","33,568","14,229","2,073","384"
"서울특별시 성북구 성북동(1129052500)","16,868","16,868","777","1,196","2,816","2,516","2,550","2,768","2,059","1,349","688","133","16"
"서울특별시 성북구 삼선동(1129055500)","23,580","23,580","1,155","1,899","4,278","3,339","3,704","3,682","2,738","1,828","814","110","33"
"서울특별시 성북구 동선동(1129057500)","15,610","15,610","586","948","4,492","2,515","2,037","1,931","1,471","1,073","466","72","19"
"서울특별시 성북구 돈암제1동(1129058000)","15,292","15,292","842","1,336","2,081","1,979","2,213","2,721","2,174","1,290","568","75","13"
"서울특별시 성북구 돈암제2동(1129059000)","24,589","24,589","2,021","2,873","3,021","3,044","4,514","4,078","2,724","1,456","719","129","10"
"서울특별시 성북구 안암동(1129060000)","15,093","15,093","442","839","5,081","2,013","1,684","2,047","1,476","992","445","60","14"
"서울특별시 성북구 보문동(1129061000)","15,768","15,768","981","955","2,708","2,627","2,415","2,557","1,896","1,097","451","66","15"
"서울특별시 성북구 정릉제1동(1129062000)","18,677","18,677","1,430","1,804","2,310","2,645","3,260","2,858","2,245","1,416","614","81","14"
"서울특별시 성북구 정릉제2동(1129063000)","23,501","23,501","1,524","1,894","3,251","3,160","3,628","3,746","3,347","2,017","799","117","18"
"서울특별시 성북구 정릉제3동(1129064000)","15,541","15,541","618","978","3,176","1,911","1,948","2,390","2,215","1,492","688","116","9"
"서울특별시 성북구 정릉제4동(1129065000)","25,609","25,609","1,683","2,172","3,270","3,288","4,220","4,178","3,587","2,188","861","139","23"
"서울특별시 성북구 길음제1동(1129066000)","36,402","36,402","4,035","4,873","3,497","4,720","7,952","4,970","3,297","2,089","813","129","27"
"서울특별시 성북구 길음제2동(1129068500)","17,051","17,051","1,462","1,418","2,128","2,533","2,954","2,776","2,107","1,142","449","62","20"
"서울특별시 성북구 종암동(1129070500)","39,786","39,786","2,735","3,682","5,838","5,236","6,463","6,369","4,788","2,917","1,471","243","44"
"서울특별시 성북구 월곡제1동(1129071500)","26,918","26,918","2,096","2,625","3,045","3,596","4,607","4,258","3,554","2,172","844","97","24"
"서울특별시 성북구 월곡제2동(1129072500)","19,928","19,928","1,107","1,491","3,583","2,738","2,872","3,042","2,664","1,623","704","93","11"
"서울특별시 성북구 장위제1동(1129076000)","20,268","20,268","918","1,605","3,035","2,488","2,917","3,829","3,025","1,656","689","91","15"
"서울특별시 성북구 장위제2동(1129077000)","13,867","13,867","603","899","1,931","1,699","1,975","2,457","2,185","1,443","568","79","28"
"서울특별시 성북구 장위제3동(1129078000)","17,200","17,200","1,777","1,413","2,225","2,769","2,746","2,709","2,057","1,067","373","50","14"
"서울특별시 성북구 석관동(1129081000)","35,605","35,605","2,030","2,245","5,206","5,027","5,180","6,015","5,288","3,261","1,205","131","17"
"서울특별시 강북구 (1130500000)","308,055","308,055","15,714","22,027","42,944","38,757","46,718","52,642","45,892","30,087","11,516","1,509","249"
"서울특별시 강북구 삼양동(1130553400)","24,555","24,555","1,307","1,981","3,153","3,029","3,673","4,368","3,797","2,246","842","129","30"
"서울특별시 강북구 미아동(1130553500)","22,213","22,213","797","1,333","3,865","2,899","3,091","3,847","3,329","2,116","827","99","10"
"서울특별시 강북구 송중동(1130554500)","30,353","30,353","1,559","2,061","4,269","4,122","4,602","5,200","4,569","2,829","990","122","30"
"서울특별시 강북구 송천동(1130555500)","27,439","27,439","1,079","1,640","3,695","3,287","3,926","5,053","4,584","2,899","1,106","143","27"
"서울특별시 강북구 삼각산동(1130557500)","31,993","31,993","3,004","4,013","3,380","3,851","6,492","4,973","3,346","2,014","798","97","25"
"서울특별시 강북구 번1동(1130559500)","19,059","19,059","693","1,097","3,290","2,811","2,944","3,133","2,620","1,767","618","78","8"
